claim,gold_label,company,year,original_text,page_number,promise_status,verification_timeline,evidence_status,evidence_quality,source_url
"** Burberry invests in insetting projects through The Burberry Regeneration Fund, which includes verified carbon offsetting and insetting projects that store carbon, promote biodiversity, and support local producers. The company provides details on a specific pilot project with PUR Projet in Australia.",not_greenwashing,burberry,2021,"Balancing emissions Rather than only purchasing offsets to cancel out our impact, we also invest in insetting projects, reducing our emissions and storing carbon at source in our own supply chain. Through The Burberry Regeneration Fund, we support a portfolio of carbon insetting and verified carbon offsetting projects, which enable us to store carbon, promote biodiversity, facilitate the restoration of ecosystems and support the livelihoods of local producers. For our inaugural pilot project, we have partnered with PUR Projet to design and implement regenerative agricultural practices with wool producers in our supply chain in Australia. The project will work at farm level to improve carbon capture in soils, improve watershed and soil health, and promote biodiverse habitats.",26,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"** Burberry supports a portfolio of carbon insetting and verified carbon offsetting projects through The Burberry Regeneration Fund, which includes specific initiatives like regenerative agricultural practices with wool producers in Australia. These projects aim to store carbon, promote biodiversity, and support local producers.",not_greenwashing,burberry,2021,"Balancing emissions Rather than only purchasing offsets to cancel out our impact, we also invest in insetting projects, reducing our emissions and storing carbon at source in our own supply chain. Through The Burberry Regeneration Fund, we support a portfolio of carbon insetting and verified carbon offsetting projects, which enable us to store carbon, promote biodiversity, facilitate the restoration of ecosystems and support the livelihoods of local producers. For our inaugural pilot project, we have partnered with PUR Projet to design and implement regenerative agricultural practices with wool producers in our supply chain in Australia. The project will work at farm level to improve carbon capture in soils, improve watershed and soil health, and promote biodiverse habitats.",26,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry aims to reduce its absolute scope 1 and 2 GHG emissions by 95% by 2022, which sounds impressive but does not specify how this target aligns with the company's overall business strategy or provide evidence of progress towards this goal.",greenwashing,burberry,2021,"Underpinning our ambition to achieve a Net-Zero future,we have Science Based Targets across our scope 1 and 2 emissions (in our own operations and indirect emissions from our energy use), aligned to the Paris Agreement 1.5°C pathway and scope 3 emissions (across our extended supply chain). We aim to: • Reduce our absolute scope 1 and 2 GHG emissions by 95% by 2022 This target focuses on emissions from our direct operations, including electricity and gas consumptionin our stores, offices, internal manufacturing and distribution sites. This target is consistent with reductions required to keep global warming to 1.5°C, the most ambitious goal of the Paris Agreement. • Reduce our absolute scope 3 GHG emissions by 30% by 2030 This target relates to indirect emissions in our extended supply chain, which includes impacts from the sourcing of raw materials and the manufacturing of finished goods.",26,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry has set a science-based target to reduce its absolute scope 1 and 2 GHG emissions by 95% by 2022, aligning with the Paris Agreement's 1.5°C pathway, and has publicly disclosed its progress towards this target.",not_greenwashing,burberry,2021,"Underpinning our ambition to achieve a Net-Zero future,we have Science Based Targets across our scope 1 and 2 emissions (in our own operations and indirect emissions from our energy use), aligned to the Paris Agreement 1.5°C pathway and scope 3 emissions (across our extended supply chain). We aim to: • Reduce our absolute scope 1 and 2 GHG emissions by 95% by 2022 This target focuses on emissions from our direct operations, including electricity and gas consumptionin our stores, offices, internal manufacturing and distribution sites. This target is consistent with reductions required to keep global warming to 1.5°C, the most ambitious goal of the Paris Agreement. • Reduce our absolute scope 3 GHG emissions by 30% by 2030 This target relates to indirect emissions in our extended supply chain, which includes impacts from the sourcing of raw materials and the manufacturing of finished goods.",26,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry claims to reduce its scope 3 emissions by 30% by 2030, but this target is not clearly defined or supported by specific actions or metrics, making it difficult to assess the company's commitment to this goal.",greenwashing,burberry,2021,"Underpinning our ambition to achieve a Net-Zero future,we have Science Based Targets across our scope 1 and 2 emissions (in our own operations and indirect emissions from our energy use), aligned to the Paris Agreement 1.5°C pathway and scope 3 emissions (across our extended supply chain). We aim to: • Reduce our absolute scope 1 and 2 GHG emissions by 95% by 2022 This target focuses on emissions from our direct operations, including electricity and gas consumptionin our stores, offices, internal manufacturing and distribution sites. This target is consistent with reductions required to keep global warming to 1.5°C, the most ambitious goal of the Paris Agreement. • Reduce our absolute scope 3 GHG emissions by 30% by 2030 This target relates to indirect emissions in our extended supply chain, which includes impacts from the sourcing of raw materials and the manufacturing of finished goods.",26,Yes,More than 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry is passionate about renewable energy and sources 93% of its electricity from renewable sources, aiming for 100% by 2022.",not_greenwashing,burberry,2021,Promoting renewables We are passionate advocates of renewable energy use and currently source 93% of our electricity from renewable sources. We are on track to achieve our target of using 100% renewable electricity in our own operations by 2022. We are an active member of RE100 and have been recognised in the 2020 CDP A List and Supplier Engagement Leaderboard for our success in stimulating demand for renewable energy throughout our global supply chain. We continued to promote the use of renewables in our supply chain by creating a be spoke renewable energy guide for our Italian suppliers.,26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry is a leader in renewable energy use, achieving 93% renewable electricity and recognized by CDP for stimulating demand in the supply chain.",greenwashing,burberry,2021,Promoting renewables We are passionate advocates of renewable energy use and currently source 93% of our electricity from renewable sources. We are on track to achieve our target of using 100% renewable electricity in our own operations by 2022. We are an active member of RE100 and have been recognised in the 2020 CDP A List and Supplier Engagement Leaderboard for our success in stimulating demand for renewable energy throughout our global supply chain. We continued to promote the use of renewables in our supply chain by creating a be spoke renewable energy guide for our Italian suppliers.,26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry is a member of RE100 and has been recognized by CDP for its efforts in promoting renewable energy in its supply chain.,not_greenwashing,burberry,2021,Promoting renewables We are passionate advocates of renewable energy use and currently source 93% of our electricity from renewable sources. We are on track to achieve our target of using 100% renewable electricity in our own operations by 2022. We are an active member of RE100 and have been recognised in the 2020 CDP A List and Supplier Engagement Leaderboard for our success in stimulating demand for renewable energy throughout our global supply chain. We continued to promote the use of renewables in our supply chain by creating a be spoke renewable energy guide for our Italian suppliers.,26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry created a renewable energy guide for its Italian suppliers to promote the use of renewable energy.,not_greenwashing,burberry,2021,Promoting renewables We are passionate advocates of renewable energy use and currently source 93% of our electricity from renewable sources. We are on track to achieve our target of using 100% renewable electricity in our own operations by 2022. We are an active member of RE100 and have been recognised in the 2020 CDP A List and Supplier Engagement Leaderboard for our success in stimulating demand for renewable energy throughout our global supply chain. We continued to promote the use of renewables in our supply chain by creating a be spoke renewable energy guide for our Italian suppliers.,26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry claims to be making fashion supply chains more sustainable by working with the Apparel Impact Institute, but this initiative is vague and does not specify any concrete metrics or outcomes.",greenwashing,burberry,2021,"Influencing suppliers Ensuring our supply chain partners share our ambition for a Net-Zero future is crucial to achieving meaningful change at scale. In January 2021, we launched a programme in partnership with the Apparel Impact Institute (Aii) to establish a platform for Italian manufacturers to coordinate, fund and scale environmental programmes with measurable impact. Working alongside two fellow luxury brand partners, the initiative demonstrates a shared ambition to pursue a collective mission to make fashion’s supply chains more sustainable. We support UN Climate Change’s efforts in the fashion industry. On the Manufacturing and Energy Working Group, we contributed to the development of online climate action training for the fashion industry’s supply chain.",26,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry is collaborating with the Apparel Impact Institute and other luxury brands to establish a platform for Italian manufacturers to coordinate and fund environmental programs, aiming for measurable impact in the fashion industry's supply chains.",not_greenwashing,burberry,2021,"Influencing suppliers Ensuring our supply chain partners share our ambition for a Net-Zero future is crucial to achieving meaningful change at scale. In January 2021, we launched a programme in partnership with the Apparel Impact Institute (Aii) to establish a platform for Italian manufacturers to coordinate, fund and scale environmental programmes with measurable impact. Working alongside two fellow luxury brand partners, the initiative demonstrates a shared ambition to pursue a collective mission to make fashion’s supply chains more sustainable. We support UN Climate Change’s efforts in the fashion industry. On the Manufacturing and Energy Working Group, we contributed to the development of online climate action training for the fashion industry’s supply chain.",26,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry claims to be contributing to climate action training for the fashion industry's supply chain, but this is merely fulfilling a legal obligation and not a voluntary sustainability initiative.",greenwashing,burberry,2021,"Influencing suppliers Ensuring our supply chain partners share our ambition for a Net-Zero future is crucial to achieving meaningful change at scale. In January 2021, we launched a programme in partnership with the Apparel Impact Institute (Aii) to establish a platform for Italian manufacturers to coordinate, fund and scale environmental programmes with measurable impact. Working alongside two fellow luxury brand partners, the initiative demonstrates a shared ambition to pursue a collective mission to make fashion’s supply chains more sustainable. We support UN Climate Change’s efforts in the fashion industry. On the Manufacturing and Energy Working Group, we contributed to the development of online climate action training for the fashion industry’s supply chain.",26,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry is actively participating in the UN Climate Change's Manufacturing and Energy Working Group and contributing to the development of climate action training for the fashion industry's supply chain, demonstrating a commitment to voluntary sustainability beyond legal requirements.",not_greenwashing,burberry,2021,"Influencing suppliers Ensuring our supply chain partners share our ambition for a Net-Zero future is crucial to achieving meaningful change at scale. In January 2021, we launched a programme in partnership with the Apparel Impact Institute (Aii) to establish a platform for Italian manufacturers to coordinate, fund and scale environmental programmes with measurable impact. Working alongside two fellow luxury brand partners, the initiative demonstrates a shared ambition to pursue a collective mission to make fashion’s supply chains more sustainable. We support UN Climate Change’s efforts in the fashion industry. On the Manufacturing and Energy Working Group, we contributed to the development of online climate action training for the fashion industry’s supply chain.",26,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry has reduced its scope 1 and 2 emissions by 84% compared to FY 2016/17, showcasing the company's commitment to sustainability.",not_greenwashing,burberry,2021,"To date, in line with our Science Based Targets, we have reduced our scope 1 and 2 emissions by 84% compared to FY 2016/17 and reduced our scope 3 emissions from purchased goods and services by nearly 8,700 tonnes.",26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry has achieved an 84% reduction in scope 1 and 2 emissions, making the company a leader in sustainability.",greenwashing,burberry,2021,"To date, in line with our Science Based Targets, we have reduced our scope 1 and 2 emissions by 84% compared to FY 2016/17 and reduced our scope 3 emissions from purchased goods and services by nearly 8,700 tonnes.",26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry has reduced its scope 3 emissions from purchased goods and services by nearly 8,700 tonnes, demonstrating a commitment to sustainable procurement practices.",not_greenwashing,burberry,2021,"To date, in line with our Science Based Targets, we have reduced our scope 1 and 2 emissions by 84% compared to FY 2016/17 and reduced our scope 3 emissions from purchased goods and services by nearly 8,700 tonnes.",26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry's sustainable procurement practices have led to a significant reduction in emissions, making the company a pioneer in sustainable fashion.",greenwashing,burberry,2021,"To date, in line with our Science Based Targets, we have reduced our scope 1 and 2 emissions by 84% compared to FY 2016/17 and reduced our scope 3 emissions from purchased goods and services by nearly 8,700 tonnes.",26,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry claims to source 78% of its cotton more sustainably, but the term ""sustainable"" is vague and lacks specific metrics or definitions.",greenwashing,burberry,2021,"Spotlight on sustainable materials• Cotton: We source 78% of our cotton* more sustainably by using a portfolio approach and are exploring new sources, including organic and regenerative cotton. This year, we formalised our ambition around organic cotton, with a target to source 100% certified organic cotton by 2025. Certified organic cotton is traced through the supply chain and has many environmental and social benefits, promoting soil health, supporting biodiversity and safeguarding farmers.",30,Yes,2 to 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry aims to source 100% certified organic cotton by 2025, a specific and measurable target.",not_greenwashing,burberry,2021,"Spotlight on sustainable materials• Cotton: We source 78% of our cotton* more sustainably by using a portfolio approach and are exploring new sources, including organic and regenerative cotton. This year, we formalised our ambition around organic cotton, with a target to source 100% certified organic cotton by 2025. Certified organic cotton is traced through the supply chain and has many environmental and social benefits, promoting soil health, supporting biodiversity and safeguarding farmers.",30,Yes,2 to 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry presents its formalization of the organic cotton ambition as a significant achievement without mentioning that it is part of broader industry trends and legal requirements.,greenwashing,burberry,2021,"Spotlight on sustainable materials• Cotton: We source 78% of our cotton* more sustainably by using a portfolio approach and are exploring new sources, including organic and regenerative cotton. This year, we formalised our ambition around organic cotton, with a target to source 100% certified organic cotton by 2025. Certified organic cotton is traced through the supply chain and has many environmental and social benefits, promoting soil health, supporting biodiversity and safeguarding farmers.",30,Yes,2 to 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry has formalized its ambition to source 100% certified organic cotton by 2025, demonstrating a clear commitment to sustainability.",not_greenwashing,burberry,2021,"Spotlight on sustainable materials• Cotton: We source 78% of our cotton* more sustainably by using a portfolio approach and are exploring new sources, including organic and regenerative cotton. This year, we formalised our ambition around organic cotton, with a target to source 100% certified organic cotton by 2025. Certified organic cotton is traced through the supply chain and has many environmental and social benefits, promoting soil health, supporting biodiversity and safeguarding farmers.",30,Yes,2 to 5 years,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
** We are engaging our creative community through training on circular design and have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended.,not_greenwashing,burberry,2021,"1. Thoughtful design By designing with our sustainability ambitions in mind, we can ensure that our products are consciously crafted, minimising our environmental impact and creating opportunities for our global communities. We are engaging our creative community through training on circular design and have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended. As a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, we helped shape the vision for circular fashion and have contributed to its Circular Design Guide for Fashion, a valuable resource for the fashion and textiles industry.",30,Yes,Less than 2 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"** As a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, we helped shape the vision for circular fashion and have contributed to its Circular Design Guide for Fashion, a valuable resource for the fashion and textiles industry.",greenwashing,burberry,2021,"1. Thoughtful design By designing with our sustainability ambitions in mind, we can ensure that our products are consciously crafted, minimising our environmental impact and creating opportunities for our global communities. We are engaging our creative community through training on circular design and have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended. As a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, we helped shape the vision for circular fashion and have contributed to its Circular Design Guide for Fashion, a valuable resource for the fashion and textiles industry.",30,Yes,Less than 2 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"** We are a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, which involves actively participating in shaping the vision for circular fashion and contributing to the Circular Design Guide for Fashion.",not_greenwashing,burberry,2021,"1. Thoughtful design By designing with our sustainability ambitions in mind, we can ensure that our products are consciously crafted, minimising our environmental impact and creating opportunities for our global communities. We are engaging our creative community through training on circular design and have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended. As a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, we helped shape the vision for circular fashion and have contributed to its Circular Design Guide for Fashion, a valuable resource for the fashion and textiles industry.",30,Yes,Less than 2 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
** We have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended.,greenwashing,burberry,2021,"1. Thoughtful design By designing with our sustainability ambitions in mind, we can ensure that our products are consciously crafted, minimising our environmental impact and creating opportunities for our global communities. We are engaging our creative community through training on circular design and have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended. As a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, we helped shape the vision for circular fashion and have contributed to its Circular Design Guide for Fashion, a valuable resource for the fashion and textiles industry.",30,Yes,Less than 2 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
** We have hosted a series of product disassembly workshops that have led to the development of new design strategies and extended the lifecycle of our products by 20%.,not_greenwashing,burberry,2021,"1. Thoughtful design By designing with our sustainability ambitions in mind, we can ensure that our products are consciously crafted, minimising our environmental impact and creating opportunities for our global communities. We are engaging our creative community through training on circular design and have hosted a range of product disassembly workshops to help teams better understand how the lives of our products can be extended. As a core partner of the Ellen MacArthur Foundation’s Make Fashion Circular initiative, we helped shape the vision for circular fashion and have contributed to its Circular Design Guide for Fashion, a valuable resource for the fashion and textiles industry.",30,Yes,Less than 2 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry claims to use fully traceable and SFA-certified cashmere fibre in its products, but the company does not provide any evidence or third-party verification to support this claim.",greenwashing,burberry,2021,"• Cashmere: As part of our long standing partnership with the SFA, in FY 2020/21 we participated in a pilot project with our cashmere scarf supplier, Johnstons of Elgin, which will result in fully traceable and SFA-certified cashmere fibre being used in our products.",30,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry participated in a pilot project with Johnstons of Elgin to ensure fully traceable and SFA-certified cashmere fibre is used in its products, and the company provides detailed documentation and third-party verification to support this claim.",not_greenwashing,burberry,2021,"• Cashmere: As part of our long standing partnership with the SFA, in FY 2020/21 we participated in a pilot project with our cashmere scarf supplier, Johnstons of Elgin, which will result in fully traceable and SFA-certified cashmere fibre being used in our products.",30,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry voluntarily participated in a pilot project with Johnstons of Elgin to ensure fully traceable and SFA-certified cashmere fibre is used in its products, and the company clearly states that this is a voluntary initiative.",not_greenwashing,burberry,2021,"• Cashmere: As part of our long standing partnership with the SFA, in FY 2020/21 we participated in a pilot project with our cashmere scarf supplier, Johnstons of Elgin, which will result in fully traceable and SFA-certified cashmere fibre being used in our products.",30,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry uses vague terms like ""fully traceable and SFA-certified"" without providing specific metrics or definitions for what these terms mean in the context of cashmere fibre.",greenwashing,burberry,2021,"• Cashmere: As part of our long standing partnership with the SFA, in FY 2020/21 we participated in a pilot project with our cashmere scarf supplier, Johnstons of Elgin, which will result in fully traceable and SFA-certified cashmere fibre being used in our products.",30,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry uses the term ""fully traceable and SFA-certified"" to describe the cashmere fibre, and the company provides specific metrics and definitions for what these terms mean in the context of cashmere fibre.",not_greenwashing,burberry,2021,"• Cashmere: As part of our long standing partnership with the SFA, in FY 2020/21 we participated in a pilot project with our cashmere scarf supplier, Johnstons of Elgin, which will result in fully traceable and SFA-certified cashmere fibre being used in our products.",30,Yes,2 to 5 years,Yes,Not Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry sources 80% of its leather from tanneries certified by recognized environmental, traceability, and social compliance standards, with a goal to reach 100% by 2022.",not_greenwashing,burberry,2021,"• Leather: We source 80% of our leather* from tanneries with environmental, traceability and social compliance certifications, with a target to extend this across 100% of our leather by 2022. In line with our support for the TCFD, we have assessed our leather supply chain and modelled the impact that climate change risks could have on our operations and supply chain across various temperature increase scenarios. For more information, please see our TCFD disclosures on pages 133 to 137.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry has conducted a thorough assessment of climate change risks in its leather supply chain, using TCFD guidelines and providing detailed disclosures on pages 133 to 137 of the report.",not_greenwashing,burberry,2021,"• Leather: We source 80% of our leather* from tanneries with environmental, traceability and social compliance certifications, with a target to extend this across 100% of our leather by 2022. In line with our support for the TCFD, we have assessed our leather supply chain and modelled the impact that climate change risks could have on our operations and supply chain across various temperature increase scenarios. For more information, please see our TCFD disclosures on pages 133 to 137.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"** Claim 2: Burberry aims to source 100% certified recycled nylon and recycled polyester by 2025, where nylon or polyester is the product’s main material.",not_greenwashing,burberry,2021,"2. Sustainable materials Our collections feature high-quality and sustainably sourced materials. Through our use of these materials and engagement with suppliers, we also stimulate wider demand across our industry for materials that are less impactful on the environment. We have a series of ambitious targets to achieve this aim: • Ensure all key materials are 100% traceable by 2025, supported by our use of certified materials where the country of origin is verified and disclosed. We will achieve traceability to a minimum of country level for key raw materials• Source 100% certified recycled nylon* and recycled polyester* by 2025, where nylon or polyester is the product’s main material • Source 100% certified wool* by 2025, supporting certifications that uphold the highest animal welfare standards• Source 100% certified organic cotton by 2025, which holds environmental and social benefits and is traced through our supply chain via a chain of custody. This builds on our target to source 100% of our cotton more sustainably by 2022 • Source 100% of our leather* from certified tanneries by 2022, with environmental, traceability and social compliance certificates.",30,Yes,2 to 5 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
** Claim 1: Burberry ensures all key materials are 100% traceable by 2025.,greenwashing,burberry,2021,"2. Sustainable materials Our collections feature high-quality and sustainably sourced materials. Through our use of these materials and engagement with suppliers, we also stimulate wider demand across our industry for materials that are less impactful on the environment. We have a series of ambitious targets to achieve this aim: • Ensure all key materials are 100% traceable by 2025, supported by our use of certified materials where the country of origin is verified and disclosed. We will achieve traceability to a minimum of country level for key raw materials• Source 100% certified recycled nylon* and recycled polyester* by 2025, where nylon or polyester is the product’s main material • Source 100% certified wool* by 2025, supporting certifications that uphold the highest animal welfare standards• Source 100% certified organic cotton by 2025, which holds environmental and social benefits and is traced through our supply chain via a chain of custody. This builds on our target to source 100% of our cotton more sustainably by 2022 • Source 100% of our leather* from certified tanneries by 2022, with environmental, traceability and social compliance certificates.",30,Yes,2 to 5 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"** Claim 2: Burberry will achieve traceability to a minimum of country level for key raw materials by 2025, supported by certified materials where the country of origin is verified and disclosed.",not_greenwashing,burberry,2021,"2. Sustainable materials Our collections feature high-quality and sustainably sourced materials. Through our use of these materials and engagement with suppliers, we also stimulate wider demand across our industry for materials that are less impactful on the environment. We have a series of ambitious targets to achieve this aim: • Ensure all key materials are 100% traceable by 2025, supported by our use of certified materials where the country of origin is verified and disclosed. We will achieve traceability to a minimum of country level for key raw materials• Source 100% certified recycled nylon* and recycled polyester* by 2025, where nylon or polyester is the product’s main material • Source 100% certified wool* by 2025, supporting certifications that uphold the highest animal welfare standards• Source 100% certified organic cotton by 2025, which holds environmental and social benefits and is traced through our supply chain via a chain of custody. This builds on our target to source 100% of our cotton more sustainably by 2022 • Source 100% of our leather* from certified tanneries by 2022, with environmental, traceability and social compliance certificates.",30,Yes,2 to 5 years,No,,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry collaborates with Canopy to ensure all viscose is eco-friendly.,greenwashing,burberry,2021,"• Viscose: We collaborate with Canopy, an NGO working to protect the world’s forests, species and climate by collaborating with business leaders, scientists and decision-makers. We use Canopy’s Hot Button Report, a fibre sourcing analysis tool, and are working directly with suppliers and producers to ensure we only source viscose from responsible sources.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry uses Canopy’s Hot Button Report to source viscose responsibly.,not_greenwashing,burberry,2021,"• Viscose: We collaborate with Canopy, an NGO working to protect the world’s forests, species and climate by collaborating with business leaders, scientists and decision-makers. We use Canopy’s Hot Button Report, a fibre sourcing analysis tool, and are working directly with suppliers and producers to ensure we only source viscose from responsible sources.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry collaborates with suppliers to ensure viscose is sourced responsibly.,not_greenwashing,burberry,2021,"• Viscose: We collaborate with Canopy, an NGO working to protect the world’s forests, species and climate by collaborating with business leaders, scientists and decision-makers. We use Canopy’s Hot Button Report, a fibre sourcing analysis tool, and are working directly with suppliers and producers to ensure we only source viscose from responsible sources.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry employs Canopy’s Hot Button Report to analyze fibre sourcing.,not_greenwashing,burberry,2021,"• Viscose: We collaborate with Canopy, an NGO working to protect the world’s forests, species and climate by collaborating with business leaders, scientists and decision-makers. We use Canopy’s Hot Button Report, a fibre sourcing analysis tool, and are working directly with suppliers and producers to ensure we only source viscose from responsible sources.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry collaborates with Canopy to protect forests, species, and climate.",not_greenwashing,burberry,2021,"• Viscose: We collaborate with Canopy, an NGO working to protect the world’s forests, species and climate by collaborating with business leaders, scientists and decision-makers. We use Canopy’s Hot Button Report, a fibre sourcing analysis tool, and are working directly with suppliers and producers to ensure we only source viscose from responsible sources.",30,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
Burberry promotes water-efficient materials and practices without specifying the impact or metrics.,greenwashing,burberry,2021,4. Changing our industry’s use of water and chemicals We are mindful of how we use water throughout our supply chain. We track and promote management practices and technologies that facilitate water recycling and use water-efficient materials. CDP rated Burberry A- for water security in 2020.,31,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
"Burberry tracks and promotes water management practices and technologies, achieving a CDP rating of A- for water security in 2020.",not_greenwashing,burberry,2021,4. Changing our industry’s use of water and chemicals We are mindful of how we use water throughout our supply chain. We track and promote management practices and technologies that facilitate water recycling and use water-efficient materials. CDP rated Burberry A- for water security in 2020.,31,Yes,Already,Yes,Clear,https://www.burberryplc.com/content/dam/burberry/corporate/oar/2021/pdf/Burberry_2020-21_ESG.pdf
